,user_id,actual,recomendations
107,143,"[  844179   840361   944534   999858   961554  1070702   999270  1006184
  9245106   836891   867188   847982   940947   979707   938138   871754
  1004906   839162   976199   859075   878996   962568  1005186   823704
   995965   874972  1077490  7168417   830503   908064   919534   995896
   920769  1024731   916122  1052912  1135995 12301405  1005172  1020581
  1126252  1002850  1117358   833025   873056  1022340  1127825  1125382
   866211 12810393]","[844179, 840361, 944534, 999858, 961554]"
108,144,"[ 916122  854852  883932  823721 1100972 1115576 1109014  934399 1137775
  840361 1077490 1031697  914190  936355  925862  979707 1051211  945805
  842125 1122115  878285 8090513 1068708  965766  921504 9835509 1042571
  951590  867188  846550  898068  957839 1022097 5569230  999858  882604
  845078  940766  944836  830156  845622  995876  842140  822178  940947
 1008074 1055425 1046816 1130375  898121]","[916122, 854852, 883932, 823721, 1100972]"
109,145,"[1084177  919589  889779 1081189 1116635  887342 1027421  947292  902856
  955910 1027773 1050851  993512 1009719 1106073  860528  889731  860975
 1044805  909894  885463 1037417 6534077 1013578 9526185  932298 7167967
 1053022  922907 1044500  938849 1005186  927291  969687 1112238 1113588
  917839 1068745 1065067  982360 1009200 1003836 1040927  989249  947658
  995055  831937 1039081  835004 1096036]","[1084177, 919589, 889779, 1081189, 1116635]"
110,147,"[ 1106523  1067749  1068719  5996469   845208   965766  1133018   830935
   822225   859026  1094352   922636   923746   944249   840361  1138772
   985742   930917  1131488   951590   822407  1084203  1134810  1021116
   853522  1135222 10308345   893018  1045220   851819  6553737  1134522
   851147  7150176   833458   974201   824311  1046587   866211  1113274
  1092149  1078652   925862   845622  7087364   993379  1106373  5585510
  1081177  5592610]","[1106523, 1067749, 1068719, 5996469, 845208]"
111,148,"[  951590   981521   981660  5996469   995598  1004906   883932   986021
   829950   955687   910032  8204756   890749 10282046  1053176   828055
  1068719   952972   896085 15827180   938622   985181  9677202   844179
   820321  9553288   898043   899624  1082141   881061  1056509 10149640
  1051211   863505  1106523   931239   820291   845196  9571047   822524
   960318  1022827   876669   964462  1044299 10150194  1077359  1075214
   996438  1048462]","[951590, 981521, 981660, 5996469, 995598]"
112,149,"[ 854852  916122 1081177 1045586  866211 5569230  840361  925862  951590
 1036347 1023720 1024306  878996  844179  979707  846550  883932  965766
  902172 1115576  997309  908318 1105301 1102067 1106523 1070497  999104
  874972  936355 7169034 1004906 7024830  821083  945805  935578 1024731
  823721 1115175  872137  837270  999858 1115098  880150 1041796 1100972
  960732  914190  934399  989824  916758]","[854852, 916122, 1081177, 1045586, 866211]"
113,151,"[  840361  1004906  1024306   854852   961554   962568   878996  1081177
   923746   916122   866211   844179   979707   896369  1105488  1068719
  1023720  1038217   899624  1037863   845208  1042697   862349  1052912
   847982  1133018  1022254  1096036 12810393  1070820   871611  1044078
   960732   893018   828106  1020581   857503   948670   831628  1106523
   880150   999858   860975  1058997   913785   996070   865178   825343
  1069621  6034857]","[840361, 1004906, 1024306, 854852, 961554]"
114,152,"[  866548  9189814 13842214  1044078   978077   844179   917816  9803601
  1038217  1133018   947292  1096036   942792   819308 13842090   998558
   944534 12302069  1098284  1106301  1128240 12810393  1081177  1055168
 13003094   860528   964594  1050851  1104604   927291  1046827  6391517
  1109090  9270796  1087411  1093030 12301405 12301109   987044   906226
  8273950  1077555   971504   893018  9526628 10285022  1029624   900418
   834129  1123842]","[866548, 9189814, 13842214, 1044078, 978077]"
115,153,"[ 866211 1005186  916122  961554  878996 1027569  840361  908318  979707
 5569230 1009449 7139529  933835 1003188 5568489 1004906 1081177  909714
 1110843 1087102  995965  921438  961620  965292  835278 7168026  903325
  866755  999250  859075  844697 1042438 7155863  834117 5569845  824005
 1091365  951412  854852  844179 1105488  970030 1112238  914190  892531
  976199  943076 1126252  844054 9881593]","[866211, 1005186, 916122, 961554, 878996]"
116,155,"[ 1059236   857503   961554   866211   840361  1040346 12810393  1100140
  1020581   893018   825006  1101567  1054424  1060408  1070820  1024306
  7144132  1056005   896369   839656  1031864  1045121  7464370  1013245
  1130452   924352   897088  1060673   835285   989249   949142   996070
   891516   992151   822785  8276172   981660  1003188   852080   929433
  1005911   852856   985160  6442594  1082212  1022011  1027569   847989
  1046968  1108844]","[1059236, 857503, 961554, 866211, 840361]"
117,156,"[  916122   844179   999858   840361 12810393  1020581   965766   835618
   982790  1081177  1044078  1036347   979707  1004906   839656  1072693
  1101173   823721   985999  1012284 12302069   823704  1038217  1027039
   887503   854852   883817   856345   855138   962229   862799  5569230
  1131438  1115098 12301405   913785  1077745 12301100   899624   873627
   933248 12349795   947316   893400   973374   962568 12301073  1053690
   945805   897954]","[916122, 844179, 999858, 840361, 12810393]"
118,157,"[  916122   854852  5569230   907141 10456180   951412  1106271  1023720
  1025468   961554  1024306  1046262   970030   926206   990688  1081177
   998549  1030398   831628   876624   946995   874972  1102090  1103513
  1053690   900802  1028816   840361   985999  1007959   973086   837270
   972665  5566674  8357418  6979253  1020581  1058068  6442594   890695
 12810393   927382   930918   853998  1137688  1116050   915181  1138677
   857503  5566752]","[916122, 854852, 5569230, 907141, 10456180]"
119,158,"[  844179   910032   951590  5569230   964594  9189814 12810393 13842214
  1053690   987044 13842090  1038217  1052294  1020581 12301109   866211
  1081177  1044078   861256  1051211  1104604   993685   893400   840361
   998558   996087  1092937  1133018 12301405   925178  9487875   985911
   828867  1102067  1059342  1004906  1121367 12302069  9803601   927291
   917816   930917   916381   974108  1005157  1110218  1110764   908531
   843259   883932]","[844179, 910032, 951590, 5569230, 964594]"
120,159,"[  995311 12670071  1122358  1037631   898869  6602697   866211  1076056
  1039156   965693   978974  1068292   971983  5585510  1093413   845208
   923746  9527159  9526757 12330376   948832  6553737   865174   957736
   921836  1138443  1026118  1129266   953561  1081177  1086483   831557
  1074333   911622   866755  1060312   835300   989824 12781777   876932
   926065  6979089 12648967   905817   878445  1020208   857130   960318
  6772852   948298]","[995311, 12670071, 1122358, 1037631, 898869]"
121,160,"[ 1106523  1133018   982469  1043663   983659  1044188   860947   949023
  5565392  1019099   896958  1135681  1069538  5565612  1000856  5567325
  1102067  7410335   998189  1004906  1120970  1012873  7147145   970619
  1072086  6534689  1112766  5592931   960732  7410201   840361  1106301
   892008  6534406   971660   874618  1051211  1114811   872066   944139
  1045109   997011  6533878  1076855  1063739   887691   840601  1135932
  1118648 10356441]","[1106523, 1133018, 982469, 1043663, 983659]"
122,161,"[ 1036347  1003836  1115098   839656   926823  1051718  1006878  1084177
   959737  1111080   916122   948239   927291  7169034  1138631  1081919
   947292  1040511  1120275  1126899  1049906   895680  8019216 12731436
   924423   946839   855138   880427  9526666   899565  7144132  1044259
   927030  1041476  1044805   872702   937928   989824 12263857  1053329
  1005861  1115175   887342   906844  1012284  5565356   870927  1046756
   821083   923654]","[1036347, 1003836, 1115098, 839656, 926823]"
123,162,"[  878996   866211   961554  1003188   857503  5591154  1054424   852360
   964520   995965  7024990   889223   889731   822646 10341697   982360
  1129321  1069312  1060408  1048483   885463   855916  1105488   840361
  1044500   835285   950824  1023720   860528   830245   913894   832768
  1006649  1126899  1127179  1053022  1038985  1070820   919589  1113460
  1040346  1013531 12731436  1013578  1007210  9911484  1104414   920109
   909750   939527]","[878996, 866211, 961554, 1003188, 857503]"
124,164,"[  840361  1004906  1068719  1106523   965766   923746  1133018  1065593
   913785   844179  1081177  1098910  1051211 10282046  1070272   916122
   847982   893018   866211  6553737   967395  1005186   981660  1045220
   882305   981521   951590   938622   961554  1044078  1076056  1129610
  1037751  1027569  1037863  1082141  5996469  5592931  1096036  1048462
   979707   930917   952972 13381584   845208   893867   952163   878996
  9677202   844165]","[840361, 1004906, 1068719, 1106523, 965766]"
125,165,"[  840361  1053690  5995596  1120085  5996036  1008012   923746  1110572
  1136257 10345155   893501   977854  9934800  1106523  1097001   931672
   839094   966695   868764   844441  1056964   900145   834103  1085604
   858711   916122   878996  1092026  1042697  1081177  1044188  5567148
   882305  1012913  6633273   963226   937928  1014948   908531  1102067
  1096317   909638  1063739   825753   840601   861973  1058997   905340
  1004906  1114604]","[840361, 1053690, 5995596, 1120085, 5996036]"
126,166,"[ 1028816   823862   997309  1106523  6391381   821083   848071  1087411
  7169034  1023720   854852   888586  1026118  1081177  1055504  1040511
  1133018   895268   982469  1044188  1051516  1039028  1003616  1042697
   933637  1006878   930118   878996  5565612  1137688  1009046  1043663
   990897   978265   841016   891954   907099   825749   845208   880427
  1019099  1076580   928146   949023  1102067   896106   878857   944137
   903800 12262492]","[1028816, 823862, 997309, 1106523, 6391381]"
127,167,"[  927291  1113651  9420312  6553737 13381584   967395  1040927   963835
   965050  1012284   968391  1026699   984575  1011300  1068291  1021324
  1046584   881391  1065593  1007269   926307   894358   852863   853998
 10282046   972726   945662  6552253  1104475   890695  1070272   883670
   881119  1082627   994894  1013407   922092   880888   964853  1075368
   837270   941939  5581335  1046144  1139835   910473   873627  1051245
  1053690  9859128]","[927291, 1113651, 9420312, 6553737, 13381584]"
128,171,"[ 1005186  1041476  5995596   887691  1110843   872702  1099802  1007136
   922651   876695  9526254   881608  1109374   847139   967144   865891
   854520  1114604  7409670   840361   905459  1073150   955910 10345155
  9526313  1003836  1012913  1081421  1056964   966695   882941  1091365
  1005861  1019883   915617   909638  1128647   991951   983673  5995215
  5996036  1054945   912860  1050851  9553048   847982   835080  5572220
   908283  1098910]","[1005186, 1041476, 5995596, 887691, 1110843]"
129,172,"[  879734  1042628  9553288  1122358   894447  1115069  1040935   828055
  1139786   866211   832768  1079594   993466   905690   960318  1004436
  1022757  9553397   989249  7167967  1078717   865174  1044805  1128880
   824305   852856  5996469  1137775  1131488  1056212  1113274  1127179
   972665  6553737   867469   823709   867138  1006187   857503 10456371
  1015785  9677366  1002771   945662  1023720   854852   887342   989824
  1034176  1126375]","[879734, 1042628, 9553288, 1122358, 894447]"
130,175,"[  866211   919596   916122   961554  1051211  5568758   844179   878996
  1024731   952698   965766  1038325   822407   825882  1078652 12518330
   997796  1127328  1081177   913785   963727   856553   951190  9526159
   872417  8181477   840361  1110483   865178   947797   951590   949965
   838563  1027168   867020  6904459   845319   851676   871680  5568378
  1058404   830887   931671   999581  6463792   930917 13008136   908504
   834491   940766]","[866211, 919596, 916122, 961554, 1051211]"
131,177,"[ 908531  827570  859075  901543  999581  886481  877358 1133018  844179
  869573 1068719  840361 5568378 1044078  847982  843744  833025  937791
  913278  844839  923746  822407 7167853  845774  907418  936508  832678
  921345  892008 1062973 1085604  891393  991951 5568964 1022119 1106523
  891405  866211  969836 1053690  907662  871756 1092026 9527290 1123720
 9337581 1017838  965766 1134522 5570406]","[908531, 827570, 859075, 901543, 999581]"
132,178,"[  916122   840361  1004906   844179  1081177   979707  1068719   961554
  1106523  1044078   866211   854852   913785   965766   878996  1133018
  1101173   999858 12810393   897954   985999   923746  1020581   833025
  5569230  1136257   962568  1005186  5568378   859075   952163   880150
   874972  1053690  1042438   962229  1076056   865178 12301109   914190
   873627   899624  1024306   908318   945805  1049788  1041796  1110843
   908531   845208]","[916122, 840361, 1004906, 844179, 1081177]"
133,180,"[ 1126899  1058997   845868   902856   856215  1019011   876695   868888
  1043187  1135460   906335  5995603   851683  1044805   897953  1010681
   990688  1020156   888532   909268   995965  1007082  1114604   929472
   908636   938841   906838  1018670   836286   834382  1015612   934369
 10285335   989275   876624  1065061  1006184   917654   928342  1084177
   878290  1053875  1135552   885356   955288   867931   824305 12781828
   961554   888476]","[1126899, 1058997, 845868, 902856, 856215]"
134,182,"[  951590  7139529   866211  1107039  9527159   981660   857503   908318
  1053628   851676  1103691   985181   981521  5569471   957951   874972
   999714   830887   953561   865174  1006184 12262778   893501 12330376
   944137  1074333  1128016   866755  9553288   986187   972515  9487606
  1138443  1028891  1123254   844054   823576   909249  1042438  1007136
   910032  9527184  5569230   902172  1013407  1092885  1081177  1135222
   879504   938138]","[951590, 7139529, 866211, 1107039, 9527159]"
135,183,"[ 5569230   987044   927291  1013407  1046584   846550   999858  1105301
   965543   902172  1115576  1046488   873627 12301405 13506200 12301109
   883932  1054215   844179  1029737   965766   916122 12301073  1036347
   847344   951590   904105   935578 12349795  9803601   871337   882496
  1110218  1013895   859610  1070497   834516  9835509   910032   935393
   894401   845622   843450   843689   837270  1056509   823721   982790
   944249   855138]","[5569230, 987044, 927291, 1013407, 1046584]"
136,184,"[  878996   866211   840361   961554   854852  1058997  1023720  1081177
  1024306  1105488   913785   908531   901062   909894   962568   933637
  1076056   859075   930118   862349  1062002  1098248  1133018  1102949
  1005186  1027569  6034857  1039156   891954  1004906   923746 10121965
  9337581  1051211   866871   913210   834117   891141  1003188  1126899
   909714   860975   845208   898958  1022254  9526410   916122  1026118
  1068719  1010582]","[878996, 866211, 840361, 961554, 854852]"
137,185,"[  987724 10344585   920769   991747   859075  1034619 12384365   990656
  8020234   923746   869728  1043837  1026094   833940   833025   827802
  6533362   873203  5572828  1070105   894446  9296856  1014860  1039589
   840361  1014948  1121862  9527290  1048068  1119830   970866  5995281
  1110692   845705  1036501  1123556 13512060  1034081   934156   938485
   918368   962568  1064945  7442004   906509   983267  1118787  1136257
  1116005  5572993]","[987724, 10344585, 920769, 991747, 859075]"
138,188,"[  951590   960318  1072523  1081177  1038217  1106523  1044078  1004906
   883932  1068719  1106116   923746 13841744  9707240   999779  1101010
  5569230   870547   845208   899624  1021324   965766  1104349   820923
   844179   897306   930917 12810393   989824   879504   917816  1060312
  1096036   893018  1133018   866158  5585510   871756   981521   935570
  1060872   916122  1122358   913785  1012922   957063   998556   935126
  1020581  1132771]","[951590, 960318, 1072523, 1081177, 1038217]"
139,189,"[ 916122 1081177  913785  961554  995965  979707 1027569  967395 9677202
  866211  840361  910473  859075 1006184 1005186 1070272 7155863  824005
 6034857  825659  908318  957013  964853 1081189 1088147 1004906 1000237
  844179 1022097 1065593  987562 1043787 1039156 7139529  953561 8090532
  849202 1110843 5569471  865178 1051211 1068719  897125 1072968  912704
  854852 9677236  847982  820291  878996]","[916122, 1081177, 913785, 961554, 995965]"
140,191,"[  858711  1117556   859075   987562   977854   878775   890695   973086
  5567148   942278   990688   957063  1135460 12781828   922651  7168759
   865891  1053595  7168286   840361   837107  9827666   998549  5995596
   908636   893501  1039156   845193  9707240   963226 12781564   830887
   944929  1120616   972515  1010681  1112667  8358383  1121213  1031447
  1053690   967760   923746   856252  1081177  1020962   966695  1109374
  7168890 12782182]","[858711, 1117556, 859075, 987562, 977854]"
141,192,"[1106523  916122  899624 1044188  982469  844179  981288 1004906  845208
 1084203 5565392 1031083  863885  825749  848029  983584  949023  851066
 5565612  956599 1044078 1133018  897671  922636 1128206  879734 8180870
 1139525  866149 1092552  831628 9677874  986021 1072086  860947 1079067
  896958  852015 1068719  971660  925862  930917 1090931  833347  963971
  825343 1102456 1135932 1031892 1058068]","[1106523, 916122, 899624, 1044188, 982469]"
142,193,"[  916122  1136257   995965   824005   985999   970030  1046262   997907
  5567365  1012913   829852   892314   951412   893501   977854   987724
  5568817  1116821   930918   961554   897125  1097418  1101725   907392
   946839   972515  9827666 10345155   907141   868764   857503   897954
  8293447   849018  5569172  1121213   849697   840361   922651   979707
   999858   977543   926796  1096099  9837501  1127716  1006483  1010681
  1025468  1011300]","[916122, 1136257, 995965, 824005, 985999]"
143,194,"[ 1083733   967395   883202  9526448 12524245  1065593 13115501  1090884
  1046144  1068745   955910  1117964 13381584  1053931   844023  8119093
 12524690   988116  1081421  6553737   969687  1095843  1011427   846833
   987518   907625   824796  5591359   990256  9420312  9526185   825753
   925282   823565  1059236   840361  1034290   898867  1011920   952972
  1112766   820321   968391   863030   825176   839094   896369  1005172
   993617 10282046]","[1083733, 967395, 883202, 9526448, 12524245]"
144,195,"[ 878996 1081177  840361 1004906  866211  961554  854852  916122  979707
  962568  913785 1068719  923746  844179  859075  951590 1105488  901062
 1022254  845208  995965  903325  908318  914190 1024306 1037863 1136257
  987562 1062002 6034857 1023720 1027569  940766  898068  827919 1044078
 1077490  819927  965267 1042697 1026118  909714  916381  865178 1042438
 9526410  933637 1005186  930118  965766]","[878996, 1081177, 840361, 1004906, 866211]"
145,196,"[  923746  1106523   840361  1081177  1068719   845208   951590  1004906
   965766  1133018   854852  1044078   844179   925862   866211   916122
  1038217   899624  5585510  1037863  1024306  5569230   999858   863447
   893018   960318  5592931   910032   823709   857503   878996   823990
   913785   982790   962568   880150   898068  1072523   871756  1042697
  6464086  1023720   960732 12301109   896862   831557   969932  1053690
  1096036   835098]","[923746, 1106523, 840361, 1081177, 1068719]"
146,197,"[ 1122358   951590   859075  1018007  5591170 12523928  1128016  1068719
  1135222   972665  5569845   960318   893501   846656  1118244   904129
   830887  1012922  1003188  1006184  1101980   856252  1022119 13416351
  1134810  1015597   832513   933835  5591083   825006   856827  7139529
  1139786  7166861  1040807  1128271  1087605  9527184   881154   957063
  1016709  8090956  9527159 12324841  1067606   971949   839419   893018
   961747  1074333]","[1122358, 951590, 859075, 1018007, 5591170]"
147,198,"[1065593 1083840  902192  872702 9296965 1127470  887691 1128647  907652
 9526666  855302  948232  918733  929018 1060673 1031923 1070716  954495
 1065038  972041 1108070  968057  830097  889779  985105  967395  844023
 1067443  881608 1096036 1104584  932503 1016260 9836526  823565 1082172
  865891 1002980  995311  904375  936634  839656  972416 5569303 1059236
  861973 1098910 1067695  866889 5995340]","[1065593, 1083840, 902192, 872702, 9296965]"
148,199,"[ 5569230  1021324   923746  8177622  1137775   895295  1118244   935570
  9707240   883932  8020001  1104349  6533936   823775  1054323   934399
   999714   854852   969932   951590   839208  1047450  1132956   932949
   960318   869322   905087  1101010  5566235  1116376   834911   822178
  1117128   887474   957063  1132771  6534030  1050583   925862  1060872
   826666  1106091   963339  1082627   866158   917857   873902 12352054
  5570383   957951]","[5569230, 1021324, 923746, 8177622, 1137775]"
149,200,"[5569230  879734  951590  844179  916122 1004906 1081177 1129049  957951
 1068719  866211 5569845 7139529 1044078  981660  893501 1042438 5568378
 1007136  845208  851129  999714  923746  840361  849202  859075 1006184
 5569471 1018007 5585510 1102959 9527184 1015280 1106523  965766  908318
  861279  910032  897125 1028715 9527494  983584 1074333  833025  857503
 1010440 5996469  865174  893018  858302]","[5569230, 879734, 951590, 844179, 916122]"
150,201,"[  916122  1120928   987562   819765   979707   844179   999858   959985
  1081177   913785   918368   854483   868423   995965   985999  1012284
 12810393  1046584  1081189  1095100   955075   948239   987724  1002558
   854852  1093113   911088   985386   842140   897954   900418  1106064
  1136257   997907  1062660  9835509   937413  8091550  1046756   943393
  1001266  5592261   840361 12301073  1086504  1004906  1123022   961554
  1005493   866149]","[916122, 1120928, 987562, 819765, 979707]"
151,203,"[1026118 1133018  854852 1106523  878996  849809  923746 1114811  995628
 1068719  910439  845208 1039156 1076056  982469 1028816  939681  840361
 1092264 1037863  866871 1081177 1009187  987562 1022254 1036753  909396
 1023720 1135681  916381  822115 1004906 1053690  821695 1035843 1042697
  895268 1112154 7410336  916122 1120970  857006 1051516 1057260  901666
  848071 1049788 1072523 1042616 1137688]","[1026118, 1133018, 854852, 1106523, 878996]"
152,204,"[  916122  1081177   824005  9827666   844179   944137   970030   907141
   995965   853622   979707  1044078  1046262  1041031  1116821   840361
  1040701  8091550   999858   892314   987562   897954  1031447  1007959
   998549  9677748   825749   874972   985999   863447   930918  1049788
   854483   951412   946839   845208  1044188   973086  1022340   878775
   916487   938554   902659  8019562  1070702   977854   830503   951176
  6034857 12301100]","[916122, 1081177, 824005, 9827666, 844179]"
153,205,"[  907957   821083   944534  1081177  5582712   986912   844179 12810393
  1105467   895166  8181477   894439  1008074  8020001  1020581  1087411
  1128812  1128240   854852   923746  8090537  1044078   940947  1071556
  1133018   874972   850102  1098927   865026 12672980   906017  1067695
   834129  1104604  1004906   880150   969932  1038217  6533936  1005186
  8019902  1076056 12731714  8203599   964594  1045779  1055155 12812474
  1110572  9296856]","[907957, 821083, 944534, 1081177, 5582712]"
154,207,"[  961803  9420286  7408211   907392   827332  1047923   983897  1067419
 12384431   924092   896106  1058997  1124029   938849   888476  1007082
  1071277   891906  1011300  1022859   876695   954077   868423  1118281
  1080853   857620   878611  1079179  1126899   882109  1115577  1086806
  1053329   917654  1028816  1018670  1101725  9837076   851287  8090556
  8119157   828073  6533912  1058404  1091901  1067779   926796   912817
  1054483  1012284]","[961803, 9420286, 7408211, 907392, 827332]"
155,208,"[ 1053690   840361  5569230   974108   916122   890695   908531  1081177
  1077555  1065593  1038217   896369  1133018   844179   961554   828867
 12810393   913785   890610   854852   965766   942556  9420312   927291
  1076056   898510  1096036   873627   893018   844165  1012284  1020581
 12301405  1004906  1051211   930917  1050851  1104604   847982   940947
  1092026  1093030   967395   962229  1127624   882496  1072693  1068719
   897954   947292]","[1053690, 840361, 5569230, 974108, 916122]"
156,209,"[ 1081177   854852   916122   844179   840361   961554  1004906   962568
   999858   979707   995965   866211   874972  1006184 12810393   914190
   951590   933835  1024306   845208  1070702  5569230 12301109  1068719
   865528   835098   878996  1042907   847982   865178   857503   859075
   908318  1023720  5569471  1020581   972665  1018740   823704   968072
   913785   987562  1044078  1040807  1049788  1027569  8065410   999270
 12301405   883932]","[1081177, 854852, 916122, 844179, 840361]"
157,210,"[  966379   889509  1114811   840361   908531  1021116  1097239  5568378
  1134810   944139   995628  1008316   859075   983584   885710  5569230
   939681   868015  1118033  8175769  1000707  1133254  1024306   854852
  1120559  9297223  1083446  1087102  1044188   961554  1001702  1050583
  1071939   996156   837579  1044895 10204333  1122568  1060529  1019099
   883819   914190  9337581   845208  1015113  1109014  1089954   898068
   987562  1039348]","[966379, 889509, 1114811, 840361, 908531]"
158,211,"[ 8090513  8090521  1043663  1051211  5568378   998189  1075368   913785
   943233   916122  1125123  1004906   844179  8090537  1085604  1054216
 12185235  9526411   999198  1033845  1076875   844759   970619   997128
   850102   910032   915545  8090509  1092026  1131438  1058554  1102003
   880579   961554   983659   870428   859075   997011   944317  1110244
   840361   944466  1090931 12132315  1005609  1137346  1101173  1102067
  1025641  1106505]","[8090513, 8090521, 1043663, 1051211, 5568378]"
159,212,"[ 840361  987562  859075 1081177  916122  961554  909894 1004906  913785
 1068719  923746 1136257  845208 1071939 1044078  847982  844179 1133018
  959985  918368 1096036  854852  878996  995965  866211  833025  962568
 1065593 1070214 1006184  979707 1002558  897125 1049788 5592931 1095100
  918335 1053690  987724  893018 1023958  908531 1076056  897954 1054262
  965766  922907 5568378 1058779 9527494]","[840361, 987562, 859075, 1081177, 916122]"
160,214,"[ 878996  866211 1023720 1105488 1024306 1003188 1133018  840361  854852
  930118 1101980  933637 1106523 1039348  845208  961554 1081177  965267
  891954  866871 1098248 1042697 1026118 1022254 1051516 1028816  901062
  903325  898958  923746 1004906 1009449  962568 1068258  909894 1037863
  999250  857006 1127179  892862  906923 7024990  900802  904422 1010582
 1045228 1068719  961979 1067606  891141]","[878996, 866211, 1023720, 1105488, 1024306]"
161,215,"[ 878996  891141 1033214 1102949 1023720  841228 1010582  909894 1022254
  840361 1105488  866211  900697  879528  961554 1024306  961447 1133018
  854852 1069621  885290 1098248  891954 1024731  939636 1040700 7410014
 1054814 1037863 1071342  866871 1023958  933637  857006  903463  901062
  930118 1062002  860975 1005186 7025106 1039156  892862  922127 1081177
  962568  898958 1068258  880150 1109778]","[878996, 891141, 1033214, 1102949, 1023720]"
162,216,"[  968936   992622   825176  9573206   860528  1054424   917760  9677886
  1014948   924427 10284966 13115903  9677949   914577   982360  1139782
   976199   961554  1069582  5565784  9677846  8160430  1016129  1061402
  5568445  1034290  1123101  5568489   909129   908531   955921   844023
   938118  6464147   833241  6424464  8090550  1017772  1124207  6464165
  1000462  1117500   866540  1053022  1070928  9420336   832760   978726
  1016298  1007210]","[968936, 992622, 825176, 9573206, 860528]"
163,217,"[  951590  1059902  1068719   916381  1106523  1053690   840601   960318
   834103  7166861   923746  1004906   910032  5568197   870608  1078763
   844165  1044078   940766  1044188   898068   936117  1134810   819927
 13382327   992933  1135222  1103691   827919   883932   865456   859075
  1033857  6534480   999714  1042942  1076875   899624   893501   925862
   987562  1048462   960732   871756  5568378   880664   907418  1004945
   845208  1133018]","[951590, 1059902, 1068719, 916381, 1106523]"
164,218,"[  874972 12524174  1000753  1009368   945652   980666  6979427  1023720
   916122 12262778  6979089   845208   956284  9296804  1120213  1133018
 12262978   869047   911311   870929   884089  1127179  1070702   954077
  5995597   831536   969866  1081177  1041031   935126   947107   903233
   835004   885463   844179   933637  8119000   989411   847207   957232
   834808  1004613  1048472  1013842  1073546   861419   912860   863447
  1134414   938849]","[874972, 12524174, 1000753, 1009368, 945652]"
165,219,"[ 1037863   923746   845208  5592931  1133018  1004906   934639  1043590
  1068292  1068719  1069621  1044078  1081177   871611  1065593  1106523
   939636   992529   984715   840361  1096036 12731544  1022254   896862
   895166  1037337   820122   981521   896613   969866  9487927   956486
   835300  6533765  1074499   819308   863447  1127758  9420312  1076056
   995230   836445   844165  1113588   854852   986912   878445  5585510
   844179  1049788]","[1037863, 923746, 845208, 5592931, 1133018]"
166,220,"[ 1065593  1096036   893018  1004906   840361  9296965  1081177  1038217
  1044078   908181   844179   916122   847982   911470  1044805 13381584
 12810393  1098910  9420312   896369  5585510  1082172  1070463   935284
   863449   913785  1058779   859026   989249  1105623   967395  1045220
   930917   882288  6553737  5592931   871252  1133018  9469110   877447
   907625   845208   961554  1077588  1124695   896085  1082141   909894
   819765   923746]","[1065593, 1096036, 893018, 1004906, 840361]"
167,221,"[  909894   860975   840361   859075  1096036   893018   889731  1071939
   896369  1023958   847982  1040346   839419  1031833  1122358   961554
  7441419  1003188   918335   835285  8181515  8273950   923746  1067606
   924352   863449  1004906  1048483  1006184  6463710   877337  1125219
   878996  1060363  1044895  1068719   920456  1079840  6979160  1047226
   871252  1028885  1076608 15452812  1131550   989249  1134810   857055
   950824  1067779]","[909894, 860975, 840361, 859075, 1096036]"
168,222,"[  916122   885406  1044805   902856  1091520   887342   987724   918368
   985999  1031260   839747  1046756  1084177   823721  1101173   948239
   856382   899019  1130763  1136257 10456575   949991   980666   912902
  1017363  5568378   860248 12384365   987562 10456371   903233  1043837
   857503   919535   898349  1048352   906838  1006483  1002558  5569327
  1075313   860167  1032950  1049906   902172   899565   863506  1046262
   882247   989824]","[916122, 885406, 1044805, 902856, 1091520]"
169,223,"[1027068  952972 1065941  950206  851676 1133254  967395 1053754 1020739
  958700 1130458  856827  830887  971949  943076 1068719 1065593  905636
 1046587 1135222  951590 1029684 1004906 1054262  859154  871188  860903
 1101173 1022119  820321  913785  856060  829001 1015280 1053176 1048383
  887984  987615 1047968  866043 9527159  837751 5996469  908145  981660
 8019716  886103  908064  973002 1084331]","[1027068, 952972, 1065941, 950206, 851676]"
170,224,"[ 916758 1106523 5996054  925862  883665  997309 1128244 1126870  888835
 1036347 1024306 1133018 1009046 8019216  962266 8020001 1092730  854852
  821025 1009187 1070497  986208  840361  989411 1023720 5981267  985866
  904574 9856740 1033403 1045586 1026984  889223  920337 1102829  908531
  924864 1138487 1092303  895702  835618  869252  971285 1015067 5568228
  920978 1123137  972191  838571 1028816]","[916758, 1106523, 5996054, 925862, 883665]"
171,225,"[ 1112238   927291   989824  6602697  1040927  1081189   944137   907128
   869622  8203834  1075313  7155863   857130   908318  1005186   967395
   825749  1033214   921438   906844  1020208   969866 12731436   896761
  1096794  1002771  1093413  1081177   951071   888532   866211  8203851
   825994  1110843   971504  1054080  1018818  1138423  1117393   979707
   956486   897083  1058214 13072850  1071171  1108094   878222  1103752
   860248   879528]","[1112238, 927291, 989824, 6602697, 1040927]"
